"ImmuneProcesses","interaction","JanewayReferences","name","selected","shared interaction","shared name","SourceReceptors","TargetReceptors"
"Inflammation, Antibacterial, Complement","Activate","112: Table Figure 3.28  mobilizes, activates, and degranulates neutrophils; 516: After uptake by macrophages in the lamina propria, invasive Salmonella induces caspase 1 activation, promoting production of IL-1 and IL-8. CXCL8 is also produced by the infected macrophages, and together these mediators recruit and activate neutrophils; 113: The complement fragment C5a and the chemokines CXCL8 and CCL2 activate their respective target cells, so that not only are neutrophils and monocytes brought to potential sites of infection but, in the process, they are armed to deal with the pathogens they encounter there. In particular, the signaling induced by C5a or CXCL8 in neutrophils serves to augment the respiratory burst that generates oxygen radicals and nitric oxide and to induce the neutrophils to release their stored antimicrobial granule contents (see Section 3-2).","CXCL8 (Activate) Neutrophil","false","Activate","CXCL8 (Activate) Neutrophil","","CXCR"
"Anti-EC bacteria, Antifungal, Inflammation, Angiogenesis, Antibacterial","Recruit","466: IL-17 also stimulates production of the chemokines CXCL8 and CXCL2, the receptors for which (CXCR1 and CXCR2) are uniquely expressed by neutrophils (see Fig. 11.8).; 112: Table Figure 3.28; 814: Table Appendix IV; 113: In contrast, neutrophil migration is promoted by CXC chemokines. CXCL8, acting through CXCR2, mobilizes neutrophils from bone marrow and induces them to leave the blood and migrate into the surrounding tissues.; 111: The chemokine CXCL8 is also involved in the local inflammatory response, helping to attract neutrophils to the site of infection.; 113: CCL2 and CXCL8 therefore have similar but complementary functions in the innate immune response, attracting monocytes and neutrophils respectively.; 117: CXCL8 is released by the macrophages that first encounter pathogens; it recruits neutrophils, which enter the infected tissue in large numbers in the early part of the induced response.; 515: Epithelial cells have a crucial role in innate defense against pathogens. TLRs are present in intracellular vesicles or on the basolateral or apical surfaces of epithelial cells, where they recognize different components of invading bacteria. Cytoplasmic NOD1 and NOD2 detect cell-wall peptides from bacteria. TLRs and NODs activate NF<U+03BA>B (see Fig. 3.15), inducing epithelial cells to produce CXCL8, CXCL1 (GROa), CCL1, and CCL2, which attract neutrophils and macrophages, CCL20, which attracts dendritic cells, and IL-1 and IL-6 that activate macrophages.; 516: After uptake by macrophages in the lamina propria, invasive Salmonella induces caspase 1 activation, promoting production of IL-1 and IL-8. CXCL8 is also produced by the infected macrophages, and together these mediators recruit and activate neutrophils; 517: Activated epithelial cells release the chemokine CXCL8, which acts as a neutrophil chemoattractant (fourth panel).; 517: Ligation of TLRs or NOD proteins in epithelial cells stimulates the production of cytokines, such as IL-1 and IL-6, and the production of chemokines. The chemokines include CXCL8, which is a potent neutrophil chemoattractant, and CCL2, CCL3, CCL4, and CCL5, which attract monocytes, eosinophils, and T cells out of the blood.","CXCL8 (Recruit) Neutrophil","false","Recruit","CXCL8 (Recruit) Neutrophil","","CXCR"
"","Recruit","814: Table Appendix IV","CXCL9 (Recruit) B","false","Recruit","CXCL9 (Recruit) B","","CXCR"
"","Recruit","814: Table Appendix IV","CXCL9 (Recruit) Endothelial","false","Recruit","CXCL9 (Recruit) Endothelial","","CXCR"
"Inflammation","Activate","633: Figure 14.22  The products of keratinocytes and TH1 cells activate macrophages to secrete mediators of inflammation","CXCL9 (Activate) Macrophage","false","Activate","CXCL9 (Activate) Macrophage","",""
"Inflammation","Recruit","632: Allergic contact dermatitis can be caused by the activation of CD4 or CD8 T cells, depending on the pathway by which the antigen is processed... During the sensitization phase, Langerhans cells in the epidermis and dendritic cells in the dermis take up and process antigen, and migrate to regional lymph nodes, where they activate T cells (see Fig. 9.13) with the  consequent production of memory T cells, which localize in the dermis. In the elicitation phase, a subsequent exposure to the sensitizing chemical leads to antigen presentation to memory T cells in the dermis, with the release of T-cell cytokines such as IFN-<U+03B3> and IL-17. This stimulates the keratinocytes of the epidermis to release IL-1, IL-6, TNF-a, GM-CSF, the chemokine CXCL8, and the interferon-inducible chemokines CXCL11 (IP-9), CXCL10 (IP-10), and CXCL9 (Mig, a monokine induced by IFN-<U+03B3>). These cytokines and chemokines enhance the inflammatory response by inducing the migration of  monocytes into the lesion and their maturation into macrophages, and by attracting more T cells","CXCL9 (Recruit) Monocyte","false","Recruit","CXCL9 (Recruit) Monocyte","",""
"Anti-IC bacteria, Antiviral","Recruit","457: TH1 cells also express CXCR3, which is shared by NK cells and cytotoxic CD8 T cells. In response to CXCR3 ligands— CXCL9 and CXCL10—these cells are recruited to the same inflammatory site to coordinate the cell-mediated killing of targets infected by intracellular pathogens, such as Listeria monocytogenes, or certain viruses.; 814: Table Appendix IV","CXCL9 (Recruit) NK","false","Recruit","CXCL9 (Recruit) NK","","CXCR"
"","Recruit","122: Plasmacytoid dendritic cells express CXCR3, a receptor for the chemokines CXCL9, CXCL10, and CXCL11, which are produced by T cells. This allows pDCs to migrate from the blood into lymph nodes in which there is an ongoing inflammatory response to a pathogen.; 814: Table Appendix IV","CXCL9 (Recruit) pDC","false","Recruit","CXCL9 (Recruit) pDC","","CXCR"
"Anti-IC bacteria, Antiviral","Recruit","457: TH1 cells also express CXCR3, which is shared by NK cells and cytotoxic CD8 T cells. In response to CXCR3 ligands— CXCL9 and CXCL10—these cells are recruited to the same inflammatory site to coordinate the cell-mediated killing of targets infected by intracellular pathogens, such as Listeria monocytogenes, or certain viruses.","CXCL9 (Recruit) T_Cytotoxic","false","Recruit","CXCL9 (Recruit) T_Cytotoxic","","CXCR"
"Anti-IC bacteria, Antiviral","Recruit","457: TH1 cells also express CXCR3, which is shared by NK cells and cytotoxic CD8 T cells. In response to CXCR3 ligands— CXCL9 and CXCL10—these cells are recruited to the same inflammatory site to coordinate the cell-mediated killing of targets infected by intracellular pathogens, such as Listeria monocytogenes, or certain viruses.; 814: Table Appendix IV","CXCL9 (Recruit) Th1","false","Recruit","CXCL9 (Recruit) Th1","","CXCR"
"Cytotoxicity","Kill","245: There are seven MIC genes, but only two—MICA and MICB—are expressed and produce protein products (see Fig. 6.26). They are expressed in fibroblasts and epithelial cells, particularly in intestinal epithelial cells, and have a role in innate immunity or in the induction of immune responses in circumstances in which interferons are not produced. The MICA and MICB proteins are recognized by the NKG2D receptor expressed by NK cells. But in addition, NKG2D is also expressed by <U+03B3>:d T cells and some CD8 T cells, and it can activate these cells to kill MIC-expressing targets.","T_Cytotoxic (Kill) Epithelial","false","Kill","T_Cytotoxic (Kill) Epithelial","NKG2D","MIC"
"Cytotoxicity","Kill","245: There are seven MIC genes, but only two—MICA and MICB—are expressed and produce protein products (see Fig. 6.26). They are expressed in fibroblasts and epithelial cells, particularly in intestinal epithelial cells, and have a role in innate immunity or in the induction of immune responses in circumstances in which interferons are not produced. The MICA and MICB proteins are recognized by the NKG2D receptor expressed by NK cells. But in addition, NKG2D is also expressed by <U+03B3>:d T cells and some CD8 T cells, and it can activate these cells to kill MIC-expressing targets.","T_Cytotoxic (Kill) Fibroblast","false","Kill","T_Cytotoxic (Kill) Fibroblast","NKG2D","MIC"
"","Secrete","385: Table Figure 9.4","T_Cytotoxic (Secrete) GMCSF","false","Secrete","T_Cytotoxic (Secrete) GMCSF","",""
"Cytotoxicity","Secrete","390: Cytotoxic granules are modified lysosomes that contain at least three distinct classes of cytotoxic effector proteins that are expressed specifically in cytotoxic T cells: perforin, granzymes, and granulysin (Fig. 9.44).","T_Cytotoxic (Secrete) Granulysin","false","Secrete","T_Cytotoxic (Secrete) Granulysin","",""
"Cytotoxicity","Secrete","391: Ligation of the T-cell receptor similarly induces de novo synthesis of perforin and granzymes in effector CD8 T cells, so that the supply of cytotoxic granules is replenished. This makes it possible for a single CD8 T cell to kill a series of targets in succession.; 384: CD8 T cells are predominantly killer T cells that recognize peptide:MHC class I complexes. They release perforin (which helps deliver granzymes into the target cell) and granzymes (which are pro-proteases that are activated intracellularly to trigger apoptosis in the target cell), and often also produce the cytokine IFn-<U+03B3>.; 390: Cytotoxic granules are modified lysosomes that contain at least three distinct classes of cytotoxic effector proteins that are expressed specifically in cytotoxic T cells: perforin, granzymes, and granulysin (Fig. 9.44).; 391: Recognition of its antigen on a virus-infected cell by a cytotoxic CD8 T cell induces the T cell to release the contents of its cytotoxic granules in a directed fashion. Perforin and granzymes, in a complex with the proteoglycan serglycin, are delivered to the membrane of the target cell (top panel).","T_Cytotoxic (Secrete) Granzymes","false","Secrete","T_Cytotoxic (Secrete) Granzymes","TCR",""
"Cytotoxicity, Antiviral","Secrete","233: Gene expression of the classical MHC class II proteins, along with the invariant-chain, DMa, DMß, and DOa, but not DOß, is coordinately increased by IFN-<U+03B3>, which is produced by activated TH1 cells, CD8 T cells, and NK cells.; 384: CD8 T cells are predominantly killer T cells that recognize peptide:MHC class I complexes. They release perforin (which helps deliver granzymes into the target cell) and granzymes (which are pro-proteases that are activated intracellularly to trigger apoptosis in the target cell), and often also produce the cytokine IFn-<U+03B3>.; 385: Table Figure 9.4; 392: However, most CD8 cytotoxic T cells also release the cytokines IFN-<U+03B3>, TNF-a, and LT-a, which contribute to host defense in other ways. IFN-<U+03B3> inhibits viral replication directly, and induces the increased expression of MHC class I molecules and of other proteins that are involved in peptide loading of these newly synthesized MHC class I molecules in infected cells.; 392: CD8 cytotoxic T cells also produce IFN-<U+03B3>, which inhibits viral replication and is an important inducer of MHC class I molecule expression and macrophage activation.; 632: CD8 T cells recognizing the peptides cause damage either by killing the eliciting cell or by secreting cytokines such as IFN-<U+03B3>.","T_Cytotoxic (Secrete) IFNg","false","Secrete","T_Cytotoxic (Secrete) IFNg","",""
"","Secrete","385: Table Figure 9.4","T_Cytotoxic (Secrete) IL10","false","Secrete","T_Cytotoxic (Secrete) IL10","",""
"","Secrete","385: Table Figure 9.4","T_Cytotoxic (Secrete) IL3","false","Secrete","T_Cytotoxic (Secrete) IL3","",""
"Cytotoxicity","Secrete","384: Table Figure 9.39; 385: Table Figure 9.4; 392: However, most CD8 cytotoxic T cells also release the cytokines IFN-<U+03B3>, TNF-a, and LT-a, which contribute to host defense in other ways.","T_Cytotoxic (Secrete) LTa","false","Secrete","T_Cytotoxic (Secrete) LTa","",""
"Cytotoxicity","Secrete","391: Ligation of the T-cell receptor similarly induces de novo synthesis of perforin and granzymes in effector CD8 T cells, so that the supply of cytotoxic granules is replenished. This makes it possible for a single CD8 T cell to kill a series of targets in succession.; 384: CD8 T cells are predominantly killer T cells that recognize peptide:MHC class I complexes. They release perforin (which helps deliver granzymes into the target cell) and granzymes (which are pro-proteases that are activated intracellularly to trigger apoptosis in the target cell), and often also produce the cytokine IFn-<U+03B3>.; 390: Cytotoxic granules are modified lysosomes that contain at least three distinct classes of cytotoxic effector proteins that are expressed specifically in cytotoxic T cells: perforin, granzymes, and granulysin (Fig. 9.44).; 391: Recognition of its antigen on a virus-infected cell by a cytotoxic CD8 T cell induces the T cell to release the contents of its cytotoxic granules in a directed fashion. Perforin and granzymes, in a complex with the proteoglycan serglycin, are delivered to the membrane of the target cell (top panel).","T_Cytotoxic (Secrete) Perforin","false","Secrete","T_Cytotoxic (Secrete) Perforin","TCR",""
"Antibacterial, Antiviral","Kill","469: Cytotoxic T cells are also required for the destruction of cells infected with some intracellular bacterial pathogens, such as Rickettsia (the causative agent of typhus) or Listeria, which can escape from phagocytic vesicles to avoid the killing mechanisms of activated macrophages.; 469: As we learned in Chapter 9, cytotoxic T cells are important in destroying virus-infected cells, and in some viral diseases they are the predominant class of lymphocytes present in the blood during a primary infection.","T_Cytotoxic (Kill) Somatic","false","Kill","T_Cytotoxic (Kill) Somatic","",""
"","Differentiate","481: Quiescent memory cells bearing the characteristic CD45RO surface protein can arise from activated effector cells (right half of diagram) or directly from activated naive T cells (left half of diagram).","T_Cytotoxic (Differentiate) T_CD8_memory","false","Differentiate","T_Cytotoxic (Differentiate) T_CD8_memory","",""
"Cytotoxicity","Secrete","384: Table Figure 9.39; 385: Table Figure 9.4; 392: However, most CD8 cytotoxic T cells also release the cytokines IFN-<U+03B3>, TNF-a, and LT-a, which contribute to host defense in other ways.","T_Cytotoxic (Secrete) TNFa","false","Secrete","T_Cytotoxic (Secrete) TNFa","",""
"","Kill","722: Both CD4 and CD8 T cells are likely to be important in achieving immunological control of tumors. CD8 cells can kill the tumor cells directly, while CD4 T cells have a role in the activation of CD8 cytotoxic T cells and the establishment of memory. CD4 T cells may also kill tumor cells by means of the cytokines that they secrete, such as TNF-a.","T_Cytotoxic (Kill) Tumor","false","Kill","T_Cytotoxic (Kill) Tumor","",""
"","Activate","664: IFN-a increases BAFF production by monocytes and dendritic cells, and BAFF interacts with receptors on B cells. Excess BAFF can increase autoreactive B-cell survival, leading to increased autoantibody  production (lower panel).","IFNa (Activate) DC","false","Activate","IFNa (Activate) DC","",""
"","Activate","664: IFN-a increases BAFF production by monocytes and dendritic cells, and BAFF interacts with receptors on B cells. Excess BAFF can increase autoreactive B-cell survival, leading to increased autoantibody  production (lower panel).","IFNa (Activate) Monocyte","false","Activate","IFNa (Activate) Monocyte","",""
"Antiviral, Cytotoxicity","Activate","122: The interferons IFn-a and IFn-ß have three major functions. First, they induce resistance to viral replication in uninfected cells by activating genes that cause the destruction of mRnA and inhibit the translation of viral proteins and some host proteins. These include the Mx proteins, oligoadenylate synthetase, PKR, and IFIT proteins. Second, they can induce MHC class I expression in most cell types in the body, thus enhancing their resistance to nK cells; they may also induce increased synthesis of MHC class I molecules in cells that are newly infected by virus, thus making them more susceptible to being killed by CD8 cytotoxic T cells (see Chapter 9). Third, they activate NK cells, which then selectively kill virus-infected cells.; 125: NK cells that can kill sensitive targets can be isolated from uninfected individuals, but this activity is increased 20- to 100-fold when NK cells are exposed to IFN-a and IFN-ß, or to IL-12, a cytokine produced by dendritic cells and macrophages during infection by many types of pathogens.","IFNa (Activate) NK","false","Activate","IFNa (Activate) NK","",""
"Antibacterial, Antiviral, Antigen presentation","Activate","362: Exposure to unmethylated DNA activates NF<U+03BA>B and mitogen-activated protein kinase (MAPK) signaling pathways (see Figs. 7.19–7.21), leading to the production of pro-inflammatory cytokines such as IL-6, IL-12, IL-18, and interferon (IFN)-a and IFN-ß by dendritic cells. In turn, these cytokines act on the dendritic cells themselves to augment the expression of co-stimulatory molecules.","IFNa (Activate) pDC","false","Activate","IFNa (Activate) pDC","",""
"","Polarize","375: For TH1 development, STAT1 and STAT4 are critical and are sequentially activated by interferons (type 1—IFN-a and IFN-ß; or type 2—IFN-<U+03B3>) and IL-12, respectively, which are produced by innate immune cells early during infection.","IFNa (Polarize) T_CD4","false","Polarize","IFNa (Polarize) T_CD4","",""
"Cytotoxicity","Activate","636: Gluten peptides can induce the expression of the MHC class Ib molecules MIC-A and MIC-B on gut epithelial cells and the synthesis and release of IL-1 from these cells. Intraepithelial lymphocytes (IELs), many of which are CD8 cytotoxic T cells, recognize the MIC proteins via the receptor NKG2D, which, together with the co-stimulator IL-1, activates the IELs to kill the MIC-bearing cells, leading to destruction of the gut epithelium.","IL1 (Activate) IEL","false","Activate","IL1 (Activate) IEL","",""
"","Activate","467: Similarly, stimulation of TH2 and ILC2 cells by TSLP (STAT5) plus IL-33 produces IL-5 and IL-13, and both TH17 and ILC3 cells stimulated by IL-23 (STAT3) plus IL-1 produce IL-17 and IL-22.","IL1 (Activate) ILC3","false","Activate","IL1 (Activate) ILC3","",""
"Antibacterial, Inflammation","Activate","515: Epithelial cells have a crucial role in innate defense against pathogens. TLRs are present in intracellular vesicles or on the basolateral or apical surfaces of epithelial cells, where they recognize different components of invading bacteria. Cytoplasmic NOD1 and NOD2 detect cell-wall peptides from bacteria. TLRs and NODs activate NF<U+03BA>B (see Fig. 3.15), inducing epithelial cells to produce CXCL8, CXCL1 (GROa), CCL1, and CCL2, which attract neutrophils and macrophages, CCL20, which attracts dendritic cells, and IL-1 and IL-6 that activate macrophages.; 633: Figure 14.22  The products of keratinocytes and TH1 cells activate macrophages to secrete mediators of inflammation","IL1 (Activate) Macrophage","false","Activate","IL1 (Activate) Macrophage","",""
"Inflammation","Recruit","632: Allergic contact dermatitis can be caused by the activation of CD4 or CD8 T cells, depending on the pathway by which the antigen is processed... During the sensitization phase, Langerhans cells in the epidermis and dendritic cells in the dermis take up and process antigen, and migrate to regional lymph nodes, where they activate T cells (see Fig. 9.13) with the  consequent production of memory T cells, which localize in the dermis. In the elicitation phase, a subsequent exposure to the sensitizing chemical leads to antigen presentation to memory T cells in the dermis, with the release of T-cell cytokines such as IFN-<U+03B3> and IL-17. This stimulates the keratinocytes of the epidermis to release IL-1, IL-6, TNF-a, GM-CSF, the chemokine CXCL8, and the interferon-inducible chemokines CXCL11 (IP-9), CXCL10 (IP-10), and CXCL9 (Mig, a monokine induced by IFN-<U+03B3>). These cytokines and chemokines enhance the inflammatory response by inducing the migration of  monocytes into the lesion and their maturation into macrophages, and by attracting more T cells","IL1 (Recruit) Monocyte","false","Recruit","IL1 (Recruit) Monocyte","",""
"Antibacterial","Activate","516: After uptake by macrophages in the lamina propria, invasive Salmonella induces caspase 1 activation, promoting production of IL-1 and IL-8. CXCL8 is also produced by the infected macrophages, and together these mediators recruit and activate neutrophils","IL1 (Activate) Neutrophil","false","Activate","IL1 (Activate) Neutrophil","",""
"Antibacterial","Recruit","516: After uptake by macrophages in the lamina propria, invasive Salmonella induces caspase 1 activation, promoting production of IL-1 and IL-8. CXCL8 is also produced by the infected macrophages, and together these mediators recruit and activate neutrophils","IL1 (Recruit) Neutrophil","false","Recruit","IL1 (Recruit) Neutrophil","",""
"Microbiome tuning of immune response, Type 3, Anti-EC bacteria, Antifungal","Polarize","524: Figure 12.23; 465: As discussed in Chapter 9, the development of TH17 cells is induced by the combined actions of TGF-ß and the pro-inflammatory cytokines IL-6, IL-1, and IL-23 (see Fig. 9.31).","IL1 (Polarize) T_CD4","false","Polarize","IL1 (Polarize) T_CD4","",""
"","Inhibit","680: Furthermore, pro-inflammatory cytokines, such as IL-1 and IL-6, impair the suppressive activity of regulatory T cells, allowing self-reactive naive T cells to become activated to differentiate into effector T cells that can initiate an autoimmune response.","IL1 (Inhibit) T_reg","false","Inhibit","IL1 (Inhibit) T_reg","",""
"","Polarize","469: When acted on by IL-6 and IL-1, iTreg cells can transition into TH17 cells, or when acted on by IL-12 can become TH1 cells.","IL1 (Polarize) T_reg","false","Polarize","IL1 (Polarize) T_reg","",""
"","Activate","467: Similarly, stimulation of TH2 and ILC2 cells by TSLP (STAT5) plus IL-33 produces IL-5 and IL-13, and both TH17 and ILC3 cells stimulated by IL-23 (STAT3) plus IL-1 produce IL-17 and IL-22.; 468: Figure 11.19","IL1 (Activate) Th17","false","Activate","IL1 (Activate) Th17","",""
"","Survive","518: IL-1 and IL-6 produced by recently arrived monocytes are important for maintaining the survival and function of local TH17 cells.","IL1 (Survive) Th17","false","Survive","IL1 (Survive) Th17","",""
"Antiviral, Antibacterial, Anti-IC bacteria, Type 1","Activate","448: Figure 11.3; 122: Group 1 ILCs (ILC1s) generate IFN-<U+03B3> in response to activation by certain cytokines, in particular IL-12 and IL-18, made by dendritic cells and macrophages, and they function in protection against infection by viruses or intracellular pathogens.; 124: Table Figure 3.37; 451: Thus, through their production of IL-12 and IL-18, macrophages can rapidly induce ILC1 production of IFN-<U+03B3>, which acts back on the macrophage to induce its heightened killing of intracellular pathogens several days prior to the development and recruitment of TH1 cells.; 451: As discussed in Chapter 3, ILC1s and related NK cells are characterized by their production of IFN-<U+03B3> in response to IL-12 and IL-18 produced by pathogen-activated dendritic cells and macrophages.; 467: Thus, for both TH1 cells and ILC1 cells, stimulation by IL-12 (STAT4) plus IL-18 induces production of IFN-<U+03B3>.","IL12 (Activate) ILC1","false","Activate","IL12 (Activate) ILC1","",""
"Inflammation","Activate","510: During the course of inflammatory diseases, ILC3s can acquire the ability to produce IFN-<U+03B3> in response to IL-12, and combined with their production of IL-17, this endows them with significant pathological properties.","IL12 (Activate) ILC3","false","Activate","IL12 (Activate) ILC3","",""
"Cytotoxicity, Antiviral, Antibacterial, Anti-IC bacteria, Type 1","Activate","811: Table Appendix III; 111: IL-12 activates natural killer (nK) cells and favors the differentiation of CD4 T cells into the TH1 subset in adaptive immunity.; 125: NK cells that can kill sensitive targets can be isolated from uninfected individuals, but this activity is increased 20- to 100-fold when NK cells are exposed to IFN-a and IFN-ß, or to IL-12, a cytokine produced by dendritic cells and macrophages during infection by many types of pathogens.; 126: IL-12, acting in synergy with the cytokine IL-18 produced by activated macrophages, can also stimulate NK cells to secrete large amounts of interferon (IFN)-<U+03B3>, and this is crucial in controlling some infections before the IFN-<U+03B3> produced by activated CD8 cytotoxic T cells becomes available.; 448: Figure 11.3; 124: Table Figure 3.37; 451: As discussed in Chapter 3, ILC1s and related NK cells are characterized by their production of IFN-<U+03B3> in response to IL-12 and IL-18 produced by pathogen-activated dendritic cells and macrophages.; 544: Because CD40 signaling is also required for the activation of dendritic cells and macrophages for optimal production of IL-12, which is important for the production of IFN-<U+03B3> by TH1 cells and NK cells, patients with CD40 ligand deficiency also have defects in type 1 immunity and thus manifest a form of combined immunodeficiency.","IL12 (Activate) NK","false","Activate","IL12 (Activate) NK","","NKIL12Rb1c+IL12Rb2"
"Antibacterial, Antiviral, Antigen presentation","Activate","362: Exposure to unmethylated DNA activates NF<U+03BA>B and mitogen-activated protein kinase (MAPK) signaling pathways (see Figs. 7.19–7.21), leading to the production of pro-inflammatory cytokines such as IL-6, IL-12, IL-18, and interferon (IFN)-a and IFN-ß by dendritic cells. In turn, these cytokines act on the dendritic cells themselves to augment the expression of co-stimulatory molecules.","IL12 (Activate) pDC","false","Activate","IL12 (Activate) pDC","",""
"Type 1, Antibacterial","Polarize","811: Table Appendix III; 111: IL-12 activates natural killer (nK) cells and favors the differentiation of CD4 T cells into the TH1 subset in adaptive immunity.; 368: Figure 9.22; 375: TH1 development is induced when there is a predominance of the cytokines IFN-<U+03B3> and IL-12 during the early stages of naive T-cell activation.; 375: For TH1 development, STAT1 and STAT4 are critical and are sequentially activated by interferons (type 1—IFN-a and IFN-ß; or type 2—IFN-<U+03B3>) and IL-12, respectively, which are produced by innate immune cells early during infection.; 375: TH1 cells differentiate in response to sequential IFn-<U+03B3> and IL-12 signaling, whereas TH2 cells differentiate in response to IL-4.; 457: Figure 11.9; 376: These T cells are now committed to becoming TH1 cells, and can be further activated by IL-12 produced by dendritic cells and macrophages to induce STAT4 signaling.; 378: Thus, certain intracellular bacterial infections (for example, mycobacteria and Listeria) induce dendritic cells and macrophages to produce IL-12, favoring the emergence of TH1 effector cells.; 604: Exposure to IL-4, IL-5, IL-9, and IL-13 favors the development of TH2 cells, whereas exposure to IFN-<U+03B3> and IL-12 (and its relative IL-27) favors TH1-cell development.","IL12 (Polarize) T_CD4","false","Polarize","IL12 (Polarize) T_CD4","","NKIL12Rb1c IL12Rb2"
"Licensing, Antibacterial, Antiviral","Activate","471: Naive CD8 T cells can also undergo ‘bystander’ activation by IL-12 and IL-18 to produce IFN-<U+03B3> very early during infection (see Fig. 11.21).; 470: Cytokines IL-12 and IL-18 made by dendritic cells can induce bystander CD8 T cells to produce IFN-g  And Figure 11.21; 470: Right panels: activated dendritic cells also produce the cytokines IL-12 and IL-18, whose combined effect on CD8 T cells rapidly induces the production of IFN-<U+03B3> (upper right panel). This activates macrophages for the destruction of intracellular bacteria and can promote antiviral responses in other cells (lower right panel).","IL12 (Activate) T_CD8","false","Activate","IL12 (Activate) T_CD8","",""
"","Polarize","469: When acted on by IL-6 and IL-1, iTreg cells can transition into TH17 cells, or when acted on by IL-12 can become TH1 cells.","IL12 (Polarize) T_reg","false","Polarize","IL12 (Polarize) T_reg","",""
"Type 1, Antibacterial, Antimicrobial, Inflammation, Anti-IC bacteria","Activate","469: Some of these newly expressed antigens appear to activate cytosolic sensors within CD8a  classical dendritic cells, which produce IL-12 to activate pathogen-specific TH1 cells and a type 1 response.; 466: Figure 11.17; 466: These initial conditions are not, however, sufficient to generate complete or effective TH17 or TH1 responses. In addition, each T-cell subset also requires stimulation by another cytokine: IL-23 in the case of TH17 cells, and IL-12 in the case of TH17 cells. (NOTE: Typo, according to Fig 11.17 IL12 activates Th1 cells); 467: IL-23 and IL-12 amplify the activities of TH17 and TH1 cells, respectively.; 467: IL-12 regulates the effector activity of committed TH1 cells at sites of infection. Studies of two different pathogens have shown that the initial differentiation of TH1 cells is not sufficient for protection, and that continuous signals are required... IFN-<U+03B3> production by pathogen-specific T cells decreases in the absence of IL-12 but can be restored by IL-12 administration... Together, these experiments indicate that TH1 cells continue to respond to signals during an infection, and that continuous IL-12 is needed to sustain the effectiveness of differentiated TH1 cells against at least some pathogens.; 467: Thus, for both TH1 cells and ILC1 cells, stimulation by IL-12 (STAT4) plus IL-18 induces production of IFN-<U+03B3>.; 468: Figure 11.19; 524: IL-23 and IL-12 in concert can also induce inflammatory TH1 responses in the intestine, with some CD4 effector T cells found to produce both IFN-<U+03B3> and IL-17 under these circumstances.; 363: Activation of plasmacytoid dendritic cells through TLR-9 induces the expression of CD40 ligand (CD40L or CD154), a TNF-family transmembrane cytokine, which binds to CD40, a TNF-family receptor that is expressed by  activated conventional dendritic cells. This interaction enables conventional dendritic cells to sustain production of the pro-inflammatory cytokine IL-12, strengthening the IL-12-induced production of IFN-<U+03B3> by T cells.; 363: Normally, IL-12 made by conventional dendritic cells induces CD4 T cells to produce abundant IFN-<U+03B3>, which helps macrophages kill the bacteria.; 544: Because CD40 signaling is also required for the activation of dendritic cells and macrophages for optimal production of IL-12, which is important for the production of IFN-<U+03B3> by TH1 cells and NK cells, patients with CD40 ligand deficiency also have defects in type 1 immunity and thus manifest a form of combined immunodeficiency.","IL12 (Activate) Th1","false","Activate","IL12 (Activate) Th1","",""
"","Polarize","468: When TH17 cells isolated using the reporter were restimulated in the presence of the TH1-polarizing cytokine IL-12, their progeny rapidly lost expression of IL-17 and acquired expression of IFN-<U+03B3>.; 469: TH17 cells acted on by IL-12 can transition into TH1 cells.","IL12 (Polarize) Th17","false","Polarize","IL12 (Polarize) Th17","",""
"Antiviral, Anti-IC bacteria, Type 1","Activate","122: Group 1 ILCs (ILC1s) generate IFN-<U+03B3> in response to activation by certain cytokines, in particular IL-12 and IL-18, made by dendritic cells and macrophages, and they function in protection against infection by viruses or intracellular pathogens.; 451: Thus, through their production of IL-12 and IL-18, macrophages can rapidly induce ILC1 production of IFN-<U+03B3>, which acts back on the macrophage to induce its heightened killing of intracellular pathogens several days prior to the development and recruitment of TH1 cells.; 451: As discussed in Chapter 3, ILC1s and related NK cells are characterized by their production of IFN-<U+03B3> in response to IL-12 and IL-18 produced by pathogen-activated dendritic cells and macrophages.; 467: Thus, for both TH1 cells and ILC1 cells, stimulation by IL-12 (STAT4) plus IL-18 induces production of IFN-<U+03B3>.","IL18 (Activate) ILC1","false","Activate","IL18 (Activate) ILC1","",""
"Antibacterial","Activate","516: After uptake by macrophages in the lamina propria, invasive Salmonella induces caspase 1 activation, promoting production of IL-1 and IL-8. CXCL8 is also produced by the infected macrophages, and together these mediators recruit and activate neutrophils","IL18 (Activate) Neutrophil","false","Activate","IL18 (Activate) Neutrophil","",""
"Antibacterial","Recruit","516: After uptake by macrophages in the lamina propria, invasive Salmonella induces caspase 1 activation, promoting production of IL-1 and IL-8. CXCL8 is also produced by the infected macrophages, and together these mediators recruit and activate neutrophils","IL18 (Recruit) Neutrophil","false","Recruit","IL18 (Recruit) Neutrophil","",""
"Type 1","Activate","812: Table Appendix III; 126: IL-12, acting in synergy with the cytokine IL-18 produced by activated macrophages, can also stimulate NK cells to secrete large amounts of interferon (IFN)-<U+03B3>, and this is crucial in controlling some infections before the IFN-<U+03B3> produced by activated CD8 cytotoxic T cells becomes available.; 451: As discussed in Chapter 3, ILC1s and related NK cells are characterized by their production of IFN-<U+03B3> in response to IL-12 and IL-18 produced by pathogen-activated dendritic cells and macrophages.","IL18 (Activate) NK","false","Activate","IL18 (Activate) NK","","IL1Rp"
